Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Henry W Grady AS,American Heritage Plantation EM,David Edwards,AFF,29,28
Baton Rouge PF,Henry W Grady EH,Charlie Williamson,AFF,26,22
Hill NL,Trinity Valley KK,Clark Foster,NEG,30,30
H.B. Plant TK,New Trier TS,Marty Pimentel,NEG,29,29
Woodrow Wilson TM,Newark Science SB,Warren Johnson,NEG,28,29
Bronx Science AW,DuPont Manual PK,Nadia Hussein,AFF,29,29
Los Altos PD,Lexington EL,Chris Castillo,AFF,29,29
Chaminade  DB,Woodrow Wilson CO,Saed Saymeh,AFF,30,30
West Des Moines Valley CF,Baton Rouge CH,Jonathan Waters,NEG,28,29
La Salle TW,New Trier CS,Rachel Ding,AFF,28,26
Isidore Newman DA,Colleyville Heritage AB,Megan Mapes,AFF,28,28
Quarry Lane MS,Dulles AS,Tom Evnen,NEG,29,29
NSU SF,Lake Highland Prep JD,Conal Thomas-McGinnis,AFF,30,29
Morrison KC,Northland Christian JQ,Crawford Leavoy,NEG,29,29
University MW,Northview YS,Anthony Berryhill,AFF,30,28
Pembroke Pines Charter MC,Auburn MF,Sarah London,AFF,28,28
American Heritage Boca/Delray NT,William G. Enloe KH,Akum Kang,AFF,29,28
Poly Prep Country Day DB,Newark Science TO,Phoebe Kuo,NEG,28,29
Dulles NJ,West Des Moines Valley CG,Daniel Shatzkin,AFF,29,28
Grapevine TT,Durham JP,Nathan Fleming,NEG,28,29
Dougherty Valley KK,Quarry Lane MD,Marty Pimentel,AFF,29,29
Brophy  CT,Providence AK,Sam Houle,AFF,28,28
Success Academy Manhattan SB,La Salle AS,Brian Wiora,AFF,28,28
Northland Christian ABr,Garland IR,Greg Zoda,AFF,29,29
Mountain Brook MC,Santa Monica RE,Stephen Scopa,NEG,28,30
Harker SS,Cypress Bay GB,Donald Broussard,NEG,28,29
Katy Taylor AP,Harvard-Westlake SM,SunHee Simon,NEG,29,29
Lexington SG,Tompkins CW,Chris Castillo,AFF,29,29
American Heritage Plantation AD,Harvard-Westlake AM,Brianna Aaron,NEG,29,29
Southlake Carroll PK,Sage MP,Manish Bhatta,NEG,29,30
Valdosta AK,Success Academy Manhattan TR,SunHee Simon,NEG,29,29
Montgomery TD,Unionville DJ,Saed Saymeh,NEG,28,28
King AK,Morrison EC,Claudia Ribera,AFF,29,29
Vestavia Hills RC,Lexington KY,Jacob Nails,NEG,28,29
Lake Highland Prep AM,Holy Cross TJ,Clark Foster,NEG,30,30
Ft Lauderdale EP,Harrison GC,Raul Larsen,NEG,30,30
Isidore Newman LE,Cardinal Gibbons ZD,Brent Huang,NEG,28,28
American Heritage Boca/Delray DM,Valdosta EH,Luiz Bravim,NEG,29,29
Seven Lakes RR,Montgomery CD,Akum Kang,AFF,29,28
Lassiter TR,Carmel Valley Independent JS,Ethan Massa,NEG,28,29
Stuyvesant SP,Strake Jesuit  AM,Tom Evnen,NEG,29,29
Evanston Twp QH,Edgemont RG,Claudia Ribera,NEG,29,29
North Allegheny AD,Cardinal Gibbons AD,Tim Stroud,AFF,28,27
Oak Hall KZ,Durham BD,Donald Broussard,NEG,27,28
Bronx Science NK,DuPont Manual RP,Niko Battle,AFF,29,1
William G. Enloe AC,Ft Lauderdale ST,Raul Larsen,AFF,30,29
Little Rock Central JP,Greenhill AZ,John Zeng,NEG,22,26
Charlotte Catholic DE,Westlake EE,Srivatsav Pyda,AFF,29,29
Quarry Lane ZD,Strake Jesuit  ZD,Greg Zoda,NEG,29,29
Harvard-Westlake SK,Greenhill KD,Sarah London,AFF,29,29
Stuyvesant GP,Harker SG,Sam Houle,AFF,29,29
Northview SD,Oak Grove NW,Conal Thomas-McGinnis,AFF,29,28
Evanston Twp HE,Dougherty Valley KD,Phoebe Kuo,NEG,28,30
Unionville KL,Strake Jesuit  JP,Courtney Coffman,NEG,28,29
Cardinal Gibbons RS,Houston County TH,Jonathan Waters,AFF,29,26
Vestavia Hills JH,Calhoun AD,Roopa Patel,AFF,28,26
Valdosta JP,Needham ZL,Megan Mapes,NEG,28,28
Henry W Grady GR,Grapevine NM,Courtney Coffman,AFF,28,28
Needham SC,Harrison AZ,Brianna Aaron,NEG,29,29
North Mecklenburg PM,American Heritage Plantation PB,Rachel Ding,NEG,28,29
West Des Moines Valley AA,Palm Harbor KG,Manish Bhatta,AFF,29,28
Dulles SZ,Holy Cross ND,Stephen Scopa,AFF,29,28
Pembroke Pines Charter JD,Shades Valley FO,Daniel Shatzkin,AFF,29,28
Lake Highland Prep JA,Madison Central SS,Brent Huang,AFF,28,27
Northland Christian AB,Southlake Carroll TR,Srivatsav Pyda,NEG,28,30
New Trier IV,William G. Enloe TG,Jacob Nails,NEG,29,30
North Allegheny ED,Oak Grove LL,Ethan Massa,AFF,29,28
Strath Haven WL,Cypress Bay HL,Nathan Fleming,AFF,29,28
