Aff,Neg,Judge,Result
Lexington DY,Harker AS,River Cook,NEG
Archbishop Mitty AB,STA/Vis IB,Alexandra Mork,AFF
Marlborough JH,Harrison RA,Andrew Torrez,NEG
BASIS Peoria VP,Presentation RD,Ravi Upadhya,NEG
Immaculate Heart FP,St Francis KC,Peyton Reeves,AFF
Marlborough ED,Harker AM,Rodrigo Paramo,NEG
Mission San Jose AA,Northview NN,Kartikeya Kotamraju,NEG
BASIS Peoria PY,Houston Memorial YB,X Braithwaite,NEG
Archbishop Mitty AA,Lake Highland Prep AV,Danielle Dosch,NEG
Park City NL,Plano West DJ,Spencer Orlowski,NEG
Marlborough ML,Interlake AG,Jacob Nails,AFF
Summit JC,Apple Valley JS,Jacob Palmer,NEG
Apple Valley NB,Immaculate Heart AW,kirtan patel,AFF
North Mecklenburg PM,Lexington JC,Jayanne Forrest,NEG
BASIS Peoria AM,Interlake TY,Joanne Park,NEG
Dougherty Valley SK,Westlake FD,Albert Cardenas,AFF
Lexington AG,Immaculate Heart RR,David Yi,AFF
Immaculate Heart SS,Lake Highland Prep AC,Peter Zhang,NEG
Albuquerque AK,West Des Moines Valley SJ,Aniruth Narayanan,AFF
Munster AM,Chanhassen AN,Jose De la Llave,NEG
Southlake Carroll PK,Dougherty Valley TM,Julian Kuffour,AFF
Milton AT,Harrison GC,Diana Alvarez,NEG
NSU SF,Scarsdale ZS,Jason Smith,NEG
West Des Moines Valley CF,Mission San Jose SS,Tom Evnen,NEG
Scarsdale AK,Catonsville AT,Lawrence Zhou,NEG
Strake Jesuit  BE,American Heritage Plantation MC,Joanne Park,AFF
Lindale PP,Strake Jesuit  ZD,,"AFF FFT																									NEG BYE"
Houston Memorial BD,Harvard-Westlake JH,Nelson Okunlola,NEG
Strake Jesuit  VM,American Heritage Plantation PG,Tate Weston,AFF
Lynbrook AH,Presentation MS,Indu Pandey,NEG
Bronx Science ES,McDowell SZ,Mark Kivimaki,NEG
Harker AR,Edina MK,parth misra,AFF
Quarry Lane MD,Harvard-Westlake IC,Jamie Davenport,NEG
Bronx Science NK,Hunter MD,Charles Karcher,AFF
Evanston Twp SB,Presentation NR,Mike Bietz,AFF
Houston Memorial DX,Princeton TK,Holden Bukowsky,AFF
Bettendorf NR,BASIS Phoenix GV,Sunita Kotapati,NEG
Southlake Carroll CC,Albuquerque LN,Nae Edwards,NEG
Bronx Science LM,Ardrey Kell GS,River Cook,AFF
Charlotte Latin VD,Cypress Bay OB,kirtan patel,NEG
Dougherty Valley KK,Durham SS,Sydney Cohen,AFF
Greenhill AA,Little Rock Central DS,Jada Stinnett,AFF
