Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Apple Valley NB,Olympia OE,Claire Kueffner,AFF,29,28
Isidore Newman AH,L C Anderson AR,Skyler Harris,NEG,28,29
Portola AS,Strath Haven AM,Kris Kaya,NEG,28,28
Millard North NL,Lexington MS,Taman Kanchanapalli,AFF,30,30
BASIS Independent Silicon Valley Independent SK,Bronx Science DB,Sally Ho,NEG,29,29
St Croix Prep ADe,Eagan JS,Ryan Davis,AFF,29,28
Strake Jesuit  JG,West Des Moines Valley KC,Michael Landau,AFF,30,28
Mission San Jose SB,Durham VW,SunHee Simon,AFF,28,28
Lincoln East PS,Peninsula HC,Kavin Kumaravel,NEG,28,28
Harrison SN,Eagan AI,Jaya Dayal,NEG,28,30
Rosemount CP,Northwood (Independent) RH,Jane Ahmann,AFF,30,30
St Michael Albertville AB,Southlake Carroll PK,Rodrigo Paramo,NEG,28,29
Edina AV,Northview YS,Danielle Dosch,NEG,29,29
Immaculate Heart LB,Northern Valley HS Independent JS,Arya Goel,NEG,28,28
Loyola BC,Dougherty Valley TM,Alex Zhao,AFF,29,28
Brentwood SR,Lake Highland Prep AV,Favian Sun,NEG,28,29
Carnegie Vanguard TM,Southlake Carroll EP,Bennett Eckert,NEG,26,26
West Des Moines Valley JW,St Croix Prep AD,Aryan Jasani,AFF,30,28
Lynbrook KD,Carnegie Vanguard CC,Calvin Tyler,AFF,28,28
Houston Memorial YB,Hamilton High Independent NB,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Lincoln East EB,Dulles CS,Animesh Joshi,NEG,28,29
Acton-Boxborough BH,Carmel Valley Independent KW,Jack Quisenberry,AFF,29,28
West HS SLC AK,Millard North SL,Heaven Montague,NEG,29,30
Lexington JC,Harrison AA,Kirtan Patel,NEG,29,29
Stanford Online MB,Troy Independent AP,Anna Farronay,AFF,28,28
Plano Independent NG,L C Anderson BC,James Stuckert,NEG,29,29
Mission San Jose SR,West HS SLC HZ,Kyle Kopf,AFF,29,29
Durham AA,Immaculate Heart BC,Scott Brown,NEG,29,29
Peninsula AR,Lake Highland Prep KS,Rex Evans,AFF,29,28
Southlake Carroll CC,Mission San Jose AW,Mike Girouard,AFF,28,28
St Michael Albertville RH,Thomas Horace Rogers JW,Michael Kurian,NEG,28,29
Iowa City West JS,Strake Jesuit  BE,Cameron McConway,NEG,28,30
Rosemount TA,Harrison MB,Joe Rankin,AFF,29,28
Greenhill KD,Dulles SZ,Skye Spindler,NEG,28,28
Harrison GC,Millard North RL,Simone Braithwaite,AFF,29,29
Dougherty Valley AG,Loyola SN,Annabelle Long,NEG,29,29
Edina MK,Scarsdale JT,Gray Graves,AFF,28,28
Southlake Carroll SD,Needham VF,Chris Castillo,AFF,28,28
Lexington BF,Appleton North MU,Charles Karcher,AFF,29,29
Lexington AR,Bettendorf NR,Paul PJ Wexler,NEG,27,29
Peninsula RM,Chanhassen AN,Ethan Elasky,AFF,29,28
Carnegie Vanguard SR,Coppell VS,Holden Bukowsky,NEG,29,29
Eagan VPa,Carmel Valley Independent AK,Kenan Anderson,AFF,28,28
Loyola BM,Immaculate Heart RR,Shikhar Srivastava,AFF,29,29
Carnegie Vanguard LS,Flintridge Prep TV,Kevin Wang,NEG,28,28
Eastside Independent ML,West Des Moines Valley CF,Jonathan Horowitz,AFF,28,28
Rosemount AO,Peninsula SM,Jacob Nails,AFF,28,28
Strake Jesuit  LWa,Carmel Valley Independent ED,Muhammad Khattak,NEG,28,28
Dulles RB,Bronx Science YL,Connor Lindquist,AFF,29,28
North Mecklenburg PM,Marlborough ER,Aaron Timmons,AFF,29,29
Lexington VM,Byram Hills SH,Carly Rieger,AFF,29,29
Eagan BT,Apple Valley DG,Anthony Berryhill,AFF,29,28
Strake Jesuit  JS,Harrison EM,River Cook,AFF,28,28
Harker AR,Dulles AS,Arthur Wayne,NEG,29,30
Eagan AC,New Trier IV,Katherine Bleth,AFF,28,28
Strake Jesuit  VC,Eden Prairie AGa,Tate Weston,AFF,29,28
Northview SD,Lynbrook AH,Wyatt Hatfield,AFF,29,29
Immaculate Heart ZB,Quarry Lane MD,Nathan Fleming,NEG,29,29
West Des Moines Valley SJ,Loyola LH,Tej Gedela,AFF,29,29
Harker DS,Strake Jesuit  VM,Saianurag Karavadi,AFF,29,29
Strake Jesuit  JK,Edina LH,Jenn Melin,AFF,29,28
Bronx Science NK,STA/Vis IB,Daniel Shatzkin,AFF,29,29
Strake Jesuit  KS,Loyola DB,Samir Mohsin,AFF,29,29
Greenhill VG,Immaculate Heart FP,Chris Thiele,NEG,29,29
Chanhassen SA,Mission San Jose SS,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Dulles TY,Houston Memorial DX,T.J. Maher,AFF,29,29
Lexington CH,Success Academy HS - Liberal Arts SB,Joshua Porter,AFF,29,29
Byram Hills MW,Lake Highland Prep YA,Sekou Cisse,NEG,28,28
Dutchtown HV,Greenhill RM,Ursula Gruber,AFF,29,29
Lake Highland Prep DP,McNeil AG,Christian Quiroz,NEG,28,28
Elkins AM,Immaculate Heart JL,Cort Sylvester,NEG,28,29
Legacy Christian BP,Lake Highland Prep AS,Scott Klein,AFF,29,28
Murphy Independent AW,Bergen County Academies AK,Sachin Shah,AFF,29,28
Strake Jesuit  MS,Coppell VN,Ronak Ahuja,AFF,29,28
McNeil AR,Carmel Valley Independent SZ,Michael Harris,AFF,28,28
Scarsdale KS,Harker RT,Joanne Park,AFF,28,28
Apple Valley JS,West Des Moines Valley MM,Mark Kivimaki,NEG,28,28
Greenhill AA,Bronx Science LM,Kristen Arnold,AFF,29,29
Dougherty Valley AM,Strake Jesuit  DA,Cyprian Dumas,NEG,29,29
Westlake AK,Greenhill KM,Carlos Astacio,NEG,28,29
Evergreen Valley Independent DT,Riverside KS,Miguel Harvey,AFF,27,26
Carmel Valley Independent MN,Dowling Catholic JP,Patrick Fox,NEG,28,29
Evergreen Valley SS,West Des Moines Valley TH,Jayanne Forrest,AFF,29,29
Milton Acad AT,Hopkins ET,Sarah Sherwood,AFF,30,30
Lexington AKu,Iowa City West NW,Tarun Ratnasabapathy,NEG,29,29
Oxford VM,Northland Christian LB,Chetan Hertzig,AFF,29,29
Byram Hills EW,Scarsdale CS,Megha Prasad,NEG,28,29
Saratoga AG,Mission San Jose AB,Rahil Modi,AFF,30,29
Marlborough WR,Lexington AMa,Asher Towner,AFF,28,28
Scarsdale BS,Greenhill NT,Sam Anderson,NEG,28,28
